Max Soil Temp	Avg Soil Temp	Avg Air Temp	Min Rel Hum	Avg Rel Hum	Total Wind	Daily Evap
84	147	151	40	398	273	30
84	149	159	28	345	140	34
79	142	152	41	388	318	33
81	147	158	50	406	282	26
84	167	180	46	379	311	41
74	131	147	73	478	446	4
73	131	159	72	462	294	5
75	134	159	70	464	313	20
84	161	195	63	430	455	31
86	169	206	56	406	604	38
88	178	208	55	393	610	43
90	187	211	51	385	520	47
88	171	211	54	405	663	45
88	171	201	51	392	467	45
81	154	167	61	448	184	11
79	149	162	59	436	177	10
84	160	173	42	392	173	30
84	160	177	44	392	76	29
84	168	169	48	398	72	23
77	147	170	60	431	183	16
87	166	196	44	379	76	37
89	171	199	48	393	230	50
89	180	204	48	394	193	36
93	186	201	47	386	400	54
93	188	206	47	389	339	44
94	199	208	45	370	172	41
93	193	214	50	396	238	45
93	196	210	45	380	118	42
96	198	207	40	365	93	50
95	202	202	39	357	269	48
84	173	173	58	418	128	17
91	170	168	44	420	423	20
88	179	189	50	399	415	15
89	179	210	46	389	300	42
91	182	208	43	384	193	44
92	196	215	46	389	195	41
94	192	198	36	380	215	49
96	195	196	24	354	185	53
93	198	211	43	364	466	53
88	188	198	52	405	399	21
88	178	197	61	447	232	1
91	175	205	42	380	275	44
92	190	209	44	379	166	44
92	189	208	42	372	189	46
94	194	208	43	373	164	47
96	202	208	40	368	139	50
80	142	162	42	368	272	43
76	152	175	31	320	144	45
76	130	156	45	355	326	45
75	145	157	51	390	263	29
83	174	163	42	405	293	21
67	136	160	76	450	489	14
77	121	164	69	471	289	9
73	122	159	63	444	344	18
86	164	184	62	409	450	27
90	152	187	61	384	606	52
97	167	225	51	421	584	51
96	196	203	56	406	546	51
86	158	213	52	439	623	34
92	188	204	47	356	470	51
74	169	157	59	487	174	3
74	141	161	56	425	194	18
89	171	182	42	358	161	37
91	161	186	42	417	80	37
76	161	178	44	369	72	34
71	160	183	59	449	186	11
92	162	195	48	414	76	42
85	165	206	49	364	248	49
86	168	207	46	410	174	35
96	196	183	49	407	387	40
96	198	187	48	419	340	34
89	197	217	44	381	173	29
94	192	234	47	358	221	49
92	213	211	41	366	122	35
93	203	218	36	383	97	40
91	202	191	39	340	287	37
76	163	179	59	391	118	24
86	161	181	41	434	417	25
84	178	194	50	409	419	21
93	191	216	51	380	303	47
99	176	227	41	401	198	51
92	187	230	46	393	184	42
93	200	186	36	370	214	40
101	194	178	25	379	194	49
93	182	195	46	378	456	51
91	196	217	49	377	387	44
82	175	178	56	411	225	20
88	161	216	39	408	255	43
94	195	193	43	390	159	39
89	187	221	40	336	197	48
103	211	206	45	378	166	48
105	193	214	43	343	140	53
